news,off
"It was asked by Enron to review those partnerships after Mr. Lay received a letter from a senior Enron executive, Sherron S. Watkins, raising questions about the company's financial structure.",0
"Still, Wiley Norvell, a mayoral spokesman, said the mayor's push had had a positive effect.",0
"On Monday, Iowans will become the first people in the nation to officially express their choices for the next president of the United States.",0
"""We couldn't be prouder of the outstanding work done by the career professionals at U.S.T.R. in helping to advance the administration's trade agenda,"" she said.",0
"But for all the maneuvering, not one of the possible 2012 Republican presidential contenders is planning to make a formal announcement before early next year or even later.",0
"People working with refugees, people working with immigrants, veterans, traumatized children, drug addicts.",0
"According to a January Fox News poll, Obama's signature program now enjoys a 50 percent approval rating.",0
"Others see a clash between the two systems as more inevitable, and say China's increasingly authoritarian behavior is likely to preclude much cooperation.",0
"Some Chinese analysts said Mr. Tillerson's remarks were an indication that the United States would continue to seek a robust presence in Asia, despite Mr. Trump's pledges to focus on domestic issues.",1
"To have the question disposed of and dispensed with, many Republicans say, could make their opinions on the matter largely moot, providing a political escape hatch that gives them an excuse to essentially say: ""It's been settled.",1
"But the market volatility and perceived Democratic edge on handling the economy has evidently turned voters to Democrats, a view supported by one top adviser to Republican candidates.",1
"Mr. Trump said he had no problem with what Mr. Bolton might say, but that ""for the sake of the office"" of the president, he did not want to set a standard of letting a top adviser speak about their interactions.",0
"""I am dispatching thousands and thousands of heavily armed soldiers, military personnel, and law enforcement officers to stop the rioting,"" Trump said in his Rose Garden address.",0
"With the new rule, the White House seems to be signaling to officers abroad that those close to delivering a child should be added to a growing list of immigrants unwelcome in the United States, in addition to the poor, most refugees and asylum-seeking migrants.",0
"According to old friends, Ms. Trump -- who, along with her husband, declined repeated requests for an interview for this article -- is keeping a stiff upper lip.",1
"According to a recent article in Politico, Democrats in 56 House districts have surpassed Republican incumbents in second-quarter fund-raising.) As Swing Left's ranks have grown, so too has its profile.",0
INTERNATIONAL A picture caption with an article on Sunday about divisions in the Trump administration over how to confront Iran and its Shiite militia proxies in Iraq misstated the timing of airstrikes in Iraq that President Trump authorized.,0
And I couldn't really plan it as well as I thought -- and it certainly didn't turn out to go according to plan.,0
"California voters have heard countless promises to end homelessness in recent decades, only to see the problem grow worse.",0
"Unlike the behind-the-scenes role he played in the 2016 campaign -- where he was seen as a key figure but, campaign aides said, never took a title and avoided blame -- Mr. Kushner is positioning himself now as the person officially overseeing the entire campaign from his office in the West Wing, organizing campaign meetings and making decisions about staffing and spending.",1
"""Camden is bleeding, and we as a state have to deal with that,"" she said.",0
"Treasury officials invited Neil M. Barofsky, the special inspector general for the bank bailout, to discuss a rescue plan.",0
"According to news accounts, he surrendered his passport and must report to the police twice a week.",0
"Although ""he certainly seems more grizzled or hardened,"" as his former economics adviser Austan Goolsbee observed, Mr. Obama expresses confidence that he has figured out how to wield power in an age of political polarization and economic stagnation.",0
"His wife, Rosmah Mansor , received $30 million worth of jewelry bought with money that came from 1MDB, including a 22-carat pink diamond necklace that was worth $27.3 million, according to the prosecutors.",1
They said Mr. Boehner and his Republican colleagues would push tax cuts for the affluent and provide the same lax oversight of the financial industry that led to the financial meltdown in 2008.,0
"The theory, they said, replaced initial speculation by senior officials elsewhere in the Bush administration that Mr. Moussaoui was supposed to be the ""20th hijacker"" on one of the four commercial jets that were seized by Qaeda terrorists on Sept. 11, 2001.",0
Today's establishment is really a consortium of separate and overlapping establishments: a governing establishment of those who have served in administrations or in Congress; a political establishment of campaign consultants; a media establishment dominated by Fox News or the editorial page of The Wall Street Journal and a policy establishment at organizations like the American Enterprise Institute and the Heritage Foundation.,0
The Democratic governors said Mr. Obama expressed extreme frustration and short-term pessimism that Republicans would accept any plan with new federal revenue.,0
"Administration officials themselves acknowledged that the budget would not significantly cut the $427 billion deficit in the near term, and that their calculations did not include any money beyond the $81 billion to be requested this month to cover expenses this year for the wars in Iraq and Afghanistan or the initial cost of Mr. Bush's plan to overhaul Social Security.",1
"But experts called a cyberattack one of the most efficient ways to paralyze systems like the power grid, cellphone networks and the backbone of the internet without using nuclear weapons.",1
The Russian government said he died suddenly but did not specify a cause.,0
"Unlike overstuffed subways or tourist attractions like, say, Times Square, there is no going around the sidewalks.",0
"Mr. Huckabee's campaign manager, Chip Saltsman, said that the results on Tuesday had given the former Arkansas governor's efforts a big boost and that contributions had increased.",0
"According to a recent survey by the Project for Excellence in Journalism, Mr. Obama's coverage has been far more favorable than that of any other candidate.",0
"By the time they added indirectly related costs for domestic security, foreign aid and airline assistance, the bill had risen to nearly $80 billion -- the largest single supplemental appropriation, as these unexpected spending bills are known, in Congressional history.",0
"Business ­strategy, technology and marketing consultants have all referred to ""bright, shiny objects"" (or ""B.S.O.s"") to describe the fickle tastes of modern life.",1
It's too close to call.,0
"Aides to Senator Wayne Allard, the Colorado Republican who brought the cadets' statements to Mr. Roche's attention last month, said today that 20 women had contacted the senator's office to say they had been raped or sexually assaulted while at the academy.",1
"Tommy G. Thompson, the former Wisconsin governor, is considering challenging Senator Russ Feingold, a Democrat, aides said.",1
"When probation failed, schools were, in the official word, reconstituted.",0
"Even after becoming chief of staff, Mr. Rouse resisted moving into Mr. Emanuel's corner office until Mr. Gibbs and two other White House aides, Dan Pfeiffer and Alyssa Mastromonaco, threatened to move his files.",0
"His energy and environmental policies would hasten the collapse of some of nature's finest handiwork, from a pristine coastline that he tried to open to oil drilling, to forests that will soon be aflame again because the president will not do anything to stall climate change.",0
"""Ultimately I think DeSantis wins because nonpartisan swing voters won't like Gillum's insider deals and alleged payoffs record,"" said Brett Doster, a veteran Florida Republican strategist.",0
Cerberus also said that the U.A.W. and holders of an estimated $9 billion in Chrysler debt must make big concessions.,0
"As the candidates struggle with how to remind voters about Nassau County's fiscal problems at a time when the formerly ubiquitous phrase ""fiscal crisis"" seems inappropriately hyperbolic, it is not clear what impact the tragedy will have on voter turnout, historically low in Nassau's Democratic primary.",0
"For the communications arm of the committee, that has translated into circulating photographs depicting Representative Adam B. Schiff of California, the chairman of the House Intelligence Committee, as a clown and barraging reporters with statements reminding them of the nicknames with which they refer to Democratic lawmakers and candidates.",0
""" One thing has remained constant throughout the years, according to people who have known Mr. Wheeler for a long time -- his belief that for every issue, there is a right and a wrong answer.",1
"A Credit Suisse First Boston spokesman in Hong Kong also declined to comment, other than to say that ""this is a serious matter and is a priority for our senior management.""",1
"Our coastal economy employed 15.8 million people and contributed $2.1 trillion to our state gross domestic product, according to that same study.",0
"State officials listed the biological mother on the children's birth certificates and refused to list their partners, saying they were not entitled to a husband's presumption of paternity.",1
More than a few politicians have suggested that Mr. Thompson's very public and fervent criticisms of Mr. Bloomberg are an early volley in a possible mayoral run in 2005.,1
"While Dr. Fauci said the mitigation strategies around the country appeared to be having an effect, he pushed back against a suggestion that the outbreak is under control.",0
"""But I think more and more the substance that continues to come out on the record by individuals continues to point to exactly what the president was talking about that day, on March 5.""",0
"The man, Agustin Vasquez Mendoza, was arrested in Puebla, Mexico, in July 2000 while American officials were seeking him on charges that he ordered the killing of the agent, Richard Fass, who tried to buy 22 pounds of methamphetamine from three associates of Mr. Vasquez in Glendale, Ariz.",0
"The rollicking economy has stalled, and critics are warning that an electric power shortage may be just over the horizon.",1
City officials said that they were already making substantive changes -- separate from whatever the Justice Department would announce.,1
"Approval by the agency, which the pump's manufacturer expects within several months, would open a huge market for the devices and, proponents say, offer dying patients the closest thing to an artificial heart.",1
"Several mayoral candidates said they supported Mr. Bloomberg's intentions, while also pointing out problems with his plan.",1
Mr. Carbonetti said the announcement would be followed by more appointments of senior staff members in the next few weeks.,0
"They would not be likely to drop retiree health benefits except under dire economic conditions, health policy experts said.",1
"It began when President Franklin D. Roosevelt called the F.B.I. director J. Edgar Hoover into the White House in 1936 and asked him for ""a broad picture"" of ""subversive activities in the United States, particularly Fascism and Communism,"" according to a Hoover memo.",0
"But experts, including some from the United Nations, say in private that they believe there are already more than 1.5 million people infected in China.",1
"In the following years, HUD continued to draw attention in the news media and among consumer advocates for an overly lenient posture toward the housing industry.",0
Mr. Rodriguez said he expected a political backlash when Latino voters start to realize how many in their communities have been left out of the recovery payments.,0
"Like most anthrax strains, the anthrax bacteria that infected two people in Florida and two in New York are said to be sensitive to penicillin.",0
"But in the case of corn-based ethanol, the agency said that manufacturers would need to use ""advanced efficient technologies"" during production to meet American limits.",0
"According to its supporters, the bill now has 93 co-sponsors out of 203 lawmakers in the House, and 25 out of 50 in the Senate.",1
"Mr. Stroger will need more than fiery rallies to save his job, though polling indicates that concerns about a split in the black vote leading to election of the lone white candidate may be overblown.",0
"In the recent gun sting, the investigators asked the sellers if there would be a background check, according to transcripts of phone calls released by city officials.",0
"Of the roughly 3,500 total American and NATO deaths in this war, American officials say, more than 150 have been killed in such ""green-on-blue"" attacks -- assaults so destructive to the American mission that they have their own terminology to describe them.",1
"Informed by the campaign that the donations did not go through, Mr. Turley said he sent a check instead, but the campaign returned it.",0
The commission is expected to meet in September to finalize its recommendations.,0
"Fifty-six percent of Americans have a positive opinion of Mr. Clinton, making him more popular than both Mr. Obama and Mrs. Clinton, according to a Wall Street Journal-NBC News poll released this month.",0
"According to that study, by the Open Society Institute, a philanthropy backed by George Soros, fewer than 8 percent of the former inmates who attended college classes in prison returned to prison after three years, compared with almost 30 percent of the women who had not participated in the college program.",0
"So far, no such link has been established, the official said.",1
"The movements of the potential contenders are being carefully monitored by the White House, where advisers to Mr. Obama are leaning toward establishing his re-election headquarters in Chicago.",0
"The two candidates met around a table, a format favored by Mr. Cheney's team because they said it would play to what they characterized as the vice president's strengths: his low-key but earnest manner.",0
"""I don't see it as a violation of any law, any ethics rules,"" he said, because he had been told that the city official -- Greg Meffert, the former chief of technology for New Orleans -- was paying for the trip, not the contractor.",0
Economists say that sudden jolt would be likely to send the economy back into recession.,1
"The Centers for Disease Control and Prevention have repeatedly waffled on how much testing is recommended and for whom, and according to emails first reported on Friday by Politico, political appointees at the Department of Health and Human Services have tried to revise or delay C.D.C. reports on the coronavirus they believed were unflattering to the president.",0
"But the board's progress in diversifying its investigative staff has been less striking, the officials acknowledged.",1
The Obama administration should definitely be embarrassed by its decision to continue a Bush administration policy directing American diplomats to collect the personal data -- including credit card numbers and frequent flier numbers -- of foreign officials.,0
But people interviewed on Tuesday who have had the same type of surgery as Gov. Chris Christie of New Jersey say it is not so.,1
Dealers say failure to be reimbursed would be a nightmare for them.,1
Some analysts say fostering such confusion is Mr. LePage's goal.,1
"The employers say the rules, including some issued in January and some still under consideration, could put many of them out of business.",1
"But Mr. Ross's departure, effective in December, is not a result of disputes over policy, several officials said.",1
"Mr. Rosenstein ultimately sought to stem the chaos by appointing Mr. Mueller as special counsel, but he consulted almost no one, according to three department officials who were not authorized to discuss the appointment.",1
"Nationally, the latest New York Times/CBS News poll found no substantial difference in the presidential preferences of older and younger voters.",0
""" One attendee described Mr. Christie's answer as disturbingly heavy on swagger and light on substance.",1
"Since mid-March, the average length of the briefings has grown from 61 minutes to 105, with the president's speaking time increasing from 20 minutes per session to 53, according to Factba.se, an organization that collects and analyzes data on the Trump administration.",0
"The police, the courts and experts say some leeway is necessary in situations where officers under crushing stress must make split-second decisions with life-or-death consequences.",0
"But the administration did not plan to stop there, he said.",0
But officials acknowledged that inspectors sometimes make mistakes and encouraged people to file appeals if they believe they were unfairly denied assistance.,1
"The disruptions were so severe that during the Iranian nuclear negotiations in Vienna in November, officials needed to distribute personal email accounts, to one another and to some reporters, to maintain contact.",0
Officials representing the host committees in Boston and New York dismissed the contention that the committees had strayed from their original mission.,1
"Less certain is who is behind the selective leaks of the material, and whether they have a clear political objective.",0
"At each airport, it used six officers who had once been routine screeners, had received an extra four days of classroom training in observation and questioning techniques, and had three days of field practice.",0
His well-documented penchant for revenge created the culture that allowed the crude behavior of his closest aides.,0
"Islamist political leaders miss no opportunity to criticize Washington's policies toward Iraq, Afghanistan, Israel and the Palestinians.",0
"According to a transcript from his office, Mr. Thompson said, ""Based on what we know at this point, it appears it is an isolated case,"" and later said, ""But I want to point out once again that this is an isolated case, and it's not contagious"" (not ""It is an isolated case, and it is not contagious"").",0
"By three to one, African-Americans believe that federal aid took so long to arrive in New Orleans in part because the city was poor and black.",0
"A vast majority of state officials had backed Mrs. Clinton in her fierce and protracted primary battle with Senator Barack Obama, who is the presumptive nominee.",0
"""What's a nightmare is if you don't do it, and then have to upgrade it"" after the initial construction has been completed, he said.",0
"According to the Labor Department, only 10 states have started making payments under the federal Pandemic Unemployment Assistance program, which extends coverage to freelancers, self-employed workers and part-timers.",0
""" Adele Nieves, a public relations specialist who moved to Detroit from New Jersey three years ago, said she suspected something akin to a land grab in the works.",0
"Husbands, doctors and some patient advocates also spoke in favor.",1
"Democratic strategists said the corruption case was all but assured to be part of Mr. Cuomo's national introduction, should he run for president, especially if Mr. Percoco were to be found guilty.",1
"As the campaign heads into the Illinois primary next Tuesday, Hogan Gidley, an adviser to Mr. Santorum, said the campaign had made no concerted effort to shift the political imagery.",0
You know that from their machine expert and our machine expert.,0
"On Saturday, intelligence officials said it was not until the week after the election that the C.I.A. altered its formal assessment of Russia's activities to conclude that the government of President Vladimir V. Putin was not just trying to undermine the election, but had also acted to give one candidate an advantage.",1
"But according to changes that have been broadly outlined by the state under the new federal requirements, people who reach the closing stage will get all of their money in a lump sum.",0
"Privately, many of the former Inhofe staff members now in the Trump administration say they are fed up with the chaos surrounding Mr. Pruitt and are more than ready to see him go.",1
RELEVANCE Dr. Hill was present for July meetings in which Ukrainian officials were pressured to announce investigations that would have benefited President Trump politically.,0
And I know a lot of people say that that looks like its off in the future.,0
"The creator of the bumper stickers and of a ""Nagin's Last Day"" Web site that features a countdown clock asked that his name not be revealed because he is a local businessman and worries about retribution.",0
"Because he feared that the torture victims were people whose names he had given to the Uruguayan authorities, Mr. Agee was racked with guilt.",0
"The judge, Jed S. Rakoff of Federal District Court in Manhattan, said he had concluded that Mr. Sayoc, though no firearms expert, was capable of concocting a pipe bomb that could explode and had consciously chosen not to. """,0
"While some experts initially contended that only three countries -- the United States, the former Soviet Union and Iraq -- were known to have made the high-grade anthrax powder that floats easily in the air, many others disagreed.",1
"There was only one problem, at least according to the governor's office.",0
"He reiterated that he was spending his money heavily to combat the city's 5-to-1 Democratic registration advantage, but clearly he knows that people do not care.",0
"Environmental groups and some elected officials said the original American requests amounted to a subsidy to farmers in Florida and California, states that are important in the presidential election.",1
Slovenia was told that taking a prisoner was the price for a meeting with President Obama.,0
"After the primary, ""we're going to start out close to zero,"" said Mark Nickolas, Ms. McGrath's campaign manager.",0
"Critics argue that many of the changes did more harm than good. """,1
Others said that divided government might not be so bad.,0
"""If we were in a recessionary period, where class distinctions are more on the surface, there might have been more of a dialogue about that,"" said Don Sipple, a Republican strategist.",0
"As of Friday afternoon, coronavirus infections confirmed by lab tests were approaching 2,000, with at least 41 deaths, according to a New York Times database.",0
"The taxpayers group said that with the worst drought in 50 years expected to raise the cost of programs like crop insurance, there was reason to believe that the current farm bill could easily exceed $1 trillion, eliminating any savings.",0
"Iranian officials have insisted that the talks wait until after the presidential election, a senior administration official said, telling their American counterparts that they want to know with whom they would be negotiating.",1
"Economists ratcheted down their forecasts for gross domestic product during the second quarter by about half a percentage point, with many economists now looking for an increase of about 2 to 2.5 percent.",1
Some officials familiar with the discussions between Mr. Bloomberg and Mr. Silver said yesterday that the two men have worked through almost all their sticking points.,1
But Mr. Woolsey and other past national security officials say the P.D.B. is hardly foolproof.,1
Legal scholars said the guilty plea would probably work against Halliburton in the civil trial in New Orleans to determine the share of damages owed to the Gulf states and businesses affected by the spill.,1
"These same lawmakers who looked out for the PMA Group have received $1.8 million in campaign donations from the lobbying firm since 2001, according to an analysis of new disclosure filings by Congressional Quarterly and Taxpayers for Common Sense, a watchdog group.",0
"Mr. Trump has told the people close to him that he believes the memo, which the White House confirmed he had read, makes the case that law enforcement officials acted inappropriately and with bias in the early days of the Russia investigation.",1
Some Britons plan to protest in the streets The announcement of Mr. Trump's visit received mixed reactions from British politicians and the public.,0
"John A. Pérez, the speaker of the Assembly, said that he supported putting revenues into a contingency fund, but that some of the money should go to increase spending on programs like college scholarships for middle-class students.",0
"The Securities and Exchange Commission and the F.B.I. are investigating the decision by Senator Richard M. Burr, Republican of North Carolina, to liquidate most of his portfolio in mid-February before the markets collapsed, a review that a person familiar with it said would most likely include multiple other lawmakers.",1
"But a concurring opinion by Justice Brett M. Kavanaugh set off alarms among civil rights and Democratic Party lawyers, who viewed it as giving public support to President Trump's arguments that any results counted after Nov. 3 could be riddled with fraudulent votes -- an assertion unsupported by the history of elections in the United States.",0
"Whether in private moments like this, recounted by a witness, or in front of millions of viewers at debates, candidates come bearing years of shared history, relationships -- or grudges -- just beneath the surface.",0
"Amy Chozick of The New York Times wrote that the campaign planned to ""shy away from the characterization 'middle class' -- because, her advisers say, the term no longer connotes a stable life -- and instead use the term 'everyday Americans.' """,0
"And officials with the state Democratic party, controlled by Mr. Cuomo, shot back at any suggestion that the governor would be hurt by the Percoco trial.",0
"According to a Pace University poll conducted this year, of 608 Hudson River area residents in 17 counties of New York State including Westchester, nearly half agreed that ""New York should close its existing nuclear plants, which are too risky given the dangerous realities of today's world.""",0
"Except that according to the Bureau of Labor Statistics, government employment has fallen, not risen, since January 2008.",0
"Mayor Michael Bloomberg announced last week that 90 percent of the guns used to commit crimes were purchased in other states, according to the latest data from 2011, compared with 85 percent in 2009.",0
"Mr. McCain, a former Navy pilot and prisoner of war during the Vietnam War, received 54 percent of the votes of veterans, while Mr. Obama won 44 percent, according to an Edison/Mitofsky exit poll.",0
"Ms. Duckworth announced her pregnancy on social media in January and, in an interview with The Chicago Sun-Times, described her struggle to become pregnant.",0
"He was a former chairman of the state Republican Party, and an aide to Vice President Dan Quayle.",0
"No-limit donations aren't ideal, but at least they were accountable: the parties knew who was giving, how much was given and where it was spent.",0
Talk to your adviser about how specific economic policies affect your portfolio.,0
""" In some respects, experts say, German elections are insulated from outside interference in ways those in the United States are not.",1
"In this test, a clip featuring Tucker Carlson, the prime-time Fox News host, excoriating the president for coming close to starting a war with Iran lowered the president's approval rating among older voters and low-information voters in their test universe.",0
"Instead, he allowed conservative organizers like Phyllis Schlafly to shape what many advocates say is the most conservative platform in the party's history.",0
"Fergus Cullen, the New Hampshire Republican Party chairman, said that a smart candidate could turn adversity to his advantage by figuring out a way to politely turn the page from the Bush era.",0
The oil and gas industry said it could cost as much as $279 million to implement and would hinder production.,0
"Northrop Grumman and BAE Systems have briefed members of Congress, urging them to invest in the systems, and Northrop has commissioned a poll in an effort to demonstrate public support for the program.",0
"Representative Nita M. Lowey of New York, the Democratic chairwoman of the House Appropriations Committee, told her colleagues on Thursday that her committee is expected to allocate between $100 billion and $150 billion, more than doubling the request, according to a person familiar with the remarks, and include it in the emerging package.",1
"According to court papers, Mr. Dorego arranged for payments to be sent to Adam Skelos through a title insurance company and through AbTech Industries, an environmental technology company, in whose parent company Mr. Dorego had an investment.",0
"Mr. Bloomberg, who generally hews to tough language when discussing the city's budget problems, sounded a sympathetic note yesterday for the city's residents, who have to bear the burden of his economic policies by paying the increased property tax.",0
And Gore advisers groused that the declaration of Mr. Bush as the winner on election night contributed to a perception in the postelection period that he had indeed won.,1
"Among other efforts, they said, he helped to shape an August 2002 opinion from the Justice Department's Office of Legal Counsel that said torture might be justified in some cases.",0
"In other words, as Mr. Rouse and his colleagues analyze the criticism, what they are hearing is not that the White House did things wrong, but that it did the wrong things.",0
"But a second prominent donor, who spoke on the condition of anonymity because he is a senior firearms industry executive, said he was also suspending a plan to give more than $2 million from his estate, as well as halting other donations, and was backing Mr. Dell'Aquila's effort.",1
"On Fifth Avenue, between 54th and 55th Streets, 26,831 pedestrians -- enough to fill Madison Square Garden and Radio City Music Hall combined -- passed through in three hours on a weekday in May 2015, up from 20,639 the year before, according to city data.",0
Some lawyers argue that this means only Congress can suspend the right.,1
"To the Editor: Re ""Time of Reckoning"" (editorial, Feb. 25): TD On Tuesday night, listening to President Obama, I heard in one short hour Mr. Obama give all Americans three vitally important things, something that our former president could not do in eight years: hope for their future, confidence in their government, and a sense that he really does ""get it.",0
"Kerrie McHugh, a Deutsche Bank spokeswoman, said the company had intensified its efforts to combat financial crime.",0
"As the day went on, Mr. Trump continued his attack on the anonymous whistle-blower whose complaint helped mobilize House Democrats, as well as on Representative Adam B. Schiff, the chairman of the House Intelligence Committee, who is leading the impeachment inquiry.",0
"Mr. Trump's hopes, moreover, appear at odds with the lower growth forecast by his own economic team and the forecasts of most economists.",0
"Political analysts suggest that while Mr. Lopez's candidate lost, some defeats are expected for a leader of a party as large as Brooklyn's.",1
"Speaking on condition of anonymity because of the secrecy of the grand jury process, they said that much of the inquiry had focused on payments made to Mr. DeLay's wife, Christine, for work at a Washington consulting firm.",1
"Mr. Laney and Mr. Rosen, the only board members who have spoken publicly, have said Amtrak should not expect annual subsidies from Congress forever.",0
"When one official complained, according to the federal indictment of Mr. Warner, he responded: ""There are some people here who think they are more pious than thou.",0
"In 1974, a group of economists and journalists got together in a bar and launched supply-side economics.",0
"But other economists, including critics of Mr. Greenspan, say the housing bubble resulted from much broader forces, including a dramatic drop of interest rates around the world and an explosion of mortgages that required no money down, no income verification and deceptively low initial teaser rates.",1
"Both candidates have experienced and hard-hitting campaign teams, and their relative success in taking control of the candidates' images in the next month or two could go a long way toward determining what happens on Nov. 6.",0
""" Although most representatives have left Washington for a weeklong Memorial Day recess, House leaders hope to pass the emergency spending bill as soon as Friday using unanimous consent.",0
"The action is part of a larger trend: From 2001 to 2012 -- mostly after the Sept. 11 attacks -- the government added about 180,000 federal employees, for a total of more than 4.3 million, according to the Office of Personnel Management.",0
But city officials say they have made a series of spending cuts in recent months -- including furloughs and layoffs -- aimed at avoiding an immediate cash shortfall.,1
"""What he's really saying,"" one aide said, ""is, 'I don't think I'm wrong, but I don't explain myself well enough.' """,1
""" One of Mr. Obama's first big financial supporters said he thought the president, in Mr. Alter's words, ""had been humbled by the opposition's intransigence"": ""he had never failed to bring anyone around before, and it changed him.",1
"While written by Stiglitz, the paper was worked out in consultation with labor officials, academics, congressional staff members and -- unusually for a think tank -- advocates from places like Color of Change, Naral and the Black Civic Engagement Fund.",0
"In interviews, friends and classmates agreed with that characterization, saying they knew Mr. Kavanaugh leaned rightward but couldn't recall his arguing his views or even sharing them much.",1
But Ms. Addleman and others said they often faced a common-sense question from users and management: Why not raise fines to make money and serve more people?,0
"Beyond that, Mr. Gore's advisers are taking solace in the fact that Mr. Bush spoke first, giving Mr. Gore the last word.",0
"But he said the immediate impact of missing the deadline would be modest, because the state recently issued bonds to cover cash needs for the next several weeks.",0
"Students, sounding a bit wiser than their leaders, generally said they still supported Division 1 athletics, but only if done with an awareness of the costs of doing it wrong.",1
"But some patient advocacy groups welcomed the decision, saying Avastin had never been shown to prolong lives and that women with breast cancer need more than false hope.",1
Research shows that those who refuse to participate in surveys tend to be less likely to vote for a black candidate.,1
Legislative and communications aides were added to this group.,0
Mr. Forbes remains comfortable with his move and noted that even some Republican friends who ostracized him at the time eventually came around.,0
"Administration officials say that if the Colombia deal is to be passed this year, they cannot afford to wait for a consensus before submitting it.",1
"Some economists, however, believe the employment situation is not as rosy as official statistics suggest.",1
Whether the outcry over the council website and the Charleston shootings will change that success is impossible to say.,0
"""When Arnold was thinking of running, Rove, from his perch in the White House, treated him in a very high-handed and disrespectful way,"" said one former Schwarzenegger aide.",1
"The blunders took place at every major intelligence agency and included computer glitches, misspellings and poor analysis, the committee said.",0
"The two leaders met in Riyadh on Wednesday against the backdrop of a public debate in the United States Congress about a bill that would allow the Saudi government to be held legally responsible for the Sept. 11, 2001, attacks if it is established that any officials played a role -- a charge Saudi officials have long denied.",0
"In 2013, he worked with a bipartisan group of senators on legislation that would have created a path to citizenship for millions of immigrants.",0
"Citing legal restrictions, officials would not disclose whether that represented the lowest bid.",1
"But several architects of those programs argue that the Bush administration is retreating from the goals of the Great Society and the New Deal, and the promises the government made across the generations.",1
"But the napkin now celebrated for starting a tax revolt is not, in fact, the original napkin, according to the people who were at the fabled meeting at what was then the Two Continents restaurant in Washington.",1
"The review, an agency official said, was prompted by an article in The Times in late April about the inspector, Saverio F. Todaro, 68, who had admitted in federal court a month earlier that he falsified the reports.",1
"Not only did the number of disqualified ballots far exceed the proportion in other large Florida counties, experts said, it easily surpassed the norm found nationwide in more than 30 years of wide use of punch-card voting machine -- about 1 percent or less.",1
"Congressional budget officials say the credit card analogy is apt, because all the money for the war will have to be borrowed.",1
"Mr. Blair said the numbers of such mistakes were ""very small"" in the agency's vast overall collection efforts, although officials would not quantify how many violations had occurred.",0
"It had 1.4 million unique visitors in August, down 42 percent from a year earlier, according to Comscore data provided by The Righting, which analyzes viewership of right-leaning outlets.",0
The president also appears poised to oust two other top immigration officials at the department in the coming days.,0
"Often, advisers say, they function as a sort of de facto therapist, urging clients to look at the big picture and not to panic.",1
"The government has looked for ways to get around that ruling, and political observers said the legal battles against Mr. Simeus could force the elections to be delayed until next year.",1
"In the summer and fall of 2006, the group's leaders saw an opportunity to step up the fight in Baghdad against Shiite militias, American troops and the nascent Iraqi security forces, according to captured documents.",0
"But not just any kind of mud will stick, said Darrell West, a political scientist at Brown University and the author of ""Air Wars,"" a study of campaign advertising.",0
"Some of the officers had not been issued weapons, and those who had guns had not been properly trained to use them.",0
"But the call was set up days ago, according to one person briefed on it who was not authorized to speak publicly.",1
"Google's data from 2014 to 2018 was ""remarkably scarce,"" the report from researchers at Oxford and Graphika said.",0
"The company is donating $500,000 to nine organizations with which current and former Olympians it is sponsoring are involved.",0
"Republicans, through their top lawyer and their own questioning, offered a glimpse of how they plan to counter the damning accounts from administration officials: by painting them as bureaucrats with an agenda but no firsthand knowledge of the president's actions.",0
"""It telegraphs legislators' intent that they want prosecutors to err on the side of disclosure,"" Mr. Scheck said.",0
He said the mayor does not appear to have the kind of liaisons who could address many of the concerns.,0
"Although New Jersey's reputation has been further tarnished by the prosecution of dozens of public officials in the last few years by the United States attorney's office, Ms. Franzese said, ""New Jersey is not the corruption capital of the world.""",0
"In a sign the sports world is eager to restart play, the N.B.A. is planning to allow the reopening of practice facilities in states and cities that have loosened social distancing restrictions, according to a person briefed on the league's plans who was not authorized to speak publicly.",1
"But those applying for visas close to the delivery date could be denied, she said.",0
"Steven Schale, a Democratic strategist who managed the Obama campaign two years ago, said Ms. Sink now faces a classic Florida fight, where independents and moderates in the I-4 corridor between Orlando and Tampa are likely to play a deciding role.",0
"(Postal officials say they have been making such moves, but they would not save nearly enough money to avert rural closings.) Some residents here also argue that just as the federal government subsidizes oil companies and other industries, it should subsidize rural post offices.",1
"Requests for mail-in ballots among registered Democrats far exceed requests from registered Republicans, according to a state records reviewed by Michael Bitzer, a professor at Catawba College in North Carolina.",0
"Passengers who bought their tickets before the shutdown, but who travel during the shutdown, may be due a refund, said Sandra Salstrom, a Treasury Department spokeswoman.",0
"Most consumers shopping in the public marketplace can find coverage for less than $75 a month after receiving subsidies, the administration said.",0
"On Wednesday, the governor reiterated that he and the Legislature had ""got a lot done"" during the budget talks in March, mentioning new sexual harassment laws, among others.",0
"The average SAT scores of freshmen entering the top colleges rose to 1147 last year from 998 in 1999, according to CUNY.",0
"Some were in Spanish, the agency said.",0
"If you listen to the recent speeches of Republican presidential hopefuls, you'll find several of them talking at length about the harm done by unionized government workers, who have, they say, multiplied under the Obama administration.",0
"A trainer and a service dog worked with Specialist Orlando Gonzalez, who has a brain injury.",0
"Rather than reprogram thousands of voting machines a few months before the primaries in September, Mr. Kellner said the board had agreed to assess how the system performed after the elections in November, in which New Yorkers will select a governor and vote on both Senate seats, among other races.",0
"While working as an economist at Federal Reserve Banks, Dr. Walker earned a doctorate in finance from the Wharton School at the University of Pennsylvania.",0
The commission also expressed concern that officials chose to expand the expedited removal process before addressing the problems in the handling of asylum seekers.,0
